chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs30122649	128547276	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003577	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003578	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003579	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs51509916	128656369	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003580	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003581	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003582	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003583	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003584	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003585	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003586	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003587	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003588	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs38613116	129134284	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003589	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003590	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003591	-9	0	X	Y	0.239	-2.000343e-03	2.711382e-03	4.815876e-01	4.613979e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003592	-9	0	X	Y	0.237	-1.386767e-03	2.715599e-03	4.735817e-01	6.100637e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs48523741	129297401	0	X	Y	0.237	-1.386767e-03	2.715599e-03	4.735817e-01	6.100637e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003593	-9	0	X	Y	0.242	-1.694493e-03	2.715064e-03	4.765262e-01	5.331622e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs30465180	129582092	0	X	Y	0.242	-1.694493e-03	2.715064e-03	4.765262e-01	5.331622e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003594	-9	0	X	Y	0.235	-2.055441e-03	2.699686e-03	4.720181e-01	4.472037e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs3662241	129610159	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	JAX00626063	129638796	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003595	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003596	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003597	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003598	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003599	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003600	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003601	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003602	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003603	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003604	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003605	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003606	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003607	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003608	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003609	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003610	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003611	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003612	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003613	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003614	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003615	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003616	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003617	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003618	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003619	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003620	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003621	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003622	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003623	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003624	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003625	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003626	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003627	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003628	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003629	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003630	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003631	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003632	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003633	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003634	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003635	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003636	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003637	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003638	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003639	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003640	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003641	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003642	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003643	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003644	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003645	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003646	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003647	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003648	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003649	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003650	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs36265827	131416418	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003651	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003652	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003653	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003654	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003655	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs36899018	131507643	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003656	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003657	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003658	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003659	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003660	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003661	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003662	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003663	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003664	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003665	-9	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs47317894	131626614	0	X	Y	0.233	-1.924128e-03	2.705180e-03	4.696205e-01	4.776190e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
6	rs3706530	131627962	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003666	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003667	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003668	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003669	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003670	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003671	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003672	-9	0	X	Y	0.235	-8.267823e-04	2.676886e-03	4.691617e-01	7.577018e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003673	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003674	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003675	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003676	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003677	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003678	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003679	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003680	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003681	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003682	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003683	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003684	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003685	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003686	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003687	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003688	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003689	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003690	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003691	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003692	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003693	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003694	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003695	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003696	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003697	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003698	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003699	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003700	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003701	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003702	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000003703	-9	0	X	Y	0.229	-1.886759e-03	2.735272e-03	4.819647e-01	4.910078e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
